confusion_matrix_iteracion_0.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_1.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_2.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_3.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_4.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_5.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_6.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_7.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_8.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_9.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_10.txt: Accuracy = 0.9800, Precision = 0.1111, Recall = 1.0000, Measure = 0.2000
confusion_matrix_iteracion_11.txt: Accuracy = 0.9875, Precision = 0.2857, Recall = 1.0000, Measure = 0.4444
confusion_matrix_iteracion_12.txt: Accuracy = 0.9975, Precision = 0.8000, Recall = 1.0000, Measure = 0.8889
confusion_matrix_iteracion_13.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_14.txt: Accuracy = 0.9950, Precision = 0.5000, Recall = 0.5000, Measure = 0.5000
confusion_matrix_iteracion_15.txt: Accuracy = 0.9775, Precision = 0.1000, Recall = 1.0000, Measure = 0.1818
confusion_matrix_iteracion_16.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_17.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_18.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_19.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_20.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_21.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_22.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_23.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_24.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_25.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_26.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_27.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_28.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_29.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_30.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_31.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_32.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_33.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_34.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_35.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_36.txt: Accuracy = 0.9250, Precision = 0.0323, Recall = 1.0000, Measure = 0.0625
confusion_matrix_iteracion_37.txt: Accuracy = 0.9000, Precision = 0.0476, Recall = 1.0000, Measure = 0.0909
confusion_matrix_iteracion_38.txt: Accuracy = 0.8950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_39.txt: Accuracy = 0.8850, Precision = 0.1042, Recall = 0.6250, Measure = 0.1786
confusion_matrix_iteracion_40.txt: Accuracy = 0.8950, Precision = 0.0476, Recall = 0.5000, Measure = 0.0870
confusion_matrix_iteracion_41.txt: Accuracy = 0.8950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_42.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_43.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_44.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
